"Plot Title: HP_Winter22"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20758339, SEN S/N: 20758339)","Full Range, μS/cm (LGR S/N: 20758339, SEN S/N: 20758339)","Temp, °C (LGR S/N: 20758339, SEN S/N: 20758339)","Coupler Detached (LGR S/N: 20758339)","Coupler Attached (LGR S/N: 20758339)","Host Connected (LGR S/N: 20758339)","Stopped (LGR S/N: 20758339)","End Of File (LGR S/N: 20758339)"
152,01/15/22 03:30:00 PM,1196.2,1195.0,5.04,,,,,
153,01/15/22 04:00:00 PM,1194.8,1193.4,5.00,,,,,
154,01/15/22 04:30:00 PM,1193.3,1191.9,4.97,,,,,
155,01/15/22 05:00:00 PM,1191.5,1189.9,4.92,,,,,
156,01/15/22 05:30:00 PM,1191.5,1189.9,4.93,,,,,
157,01/15/22 06:00:00 PM,1191.5,1189.9,4.94,,,,,
158,01/15/22 06:30:00 PM,1191.3,1189.9,4.93,,,,,
159,01/15/22 07:00:00 PM,1191.1,1189.5,4.94,,,,,
160,01/15/22 07:30:00 PM,1191.1,1189.5,4.94,,,,,
161,01/15/22 08:00:00 PM,1190.8,1189.5,4.94,,,,,
162,01/15/22 08:30:00 PM,1190.9,1189.5,4.94,,,,,
163,01/15/22 09:00:00 PM,1191.9,1190.7,4.97,,,,,
164,01/15/22 09:30:00 PM,1191.6,1190.7,4.95,,,,,
165,01/15/22 10:00:00 PM,1191.8,1190.3,4.95,,,,,
166,01/15/22 10:30:00 PM,1192.1,1190.7,4.95,,,,,
167,01/15/22 11:00:00 PM,1191.8,1190.7,4.95,,,,,
168,01/15/22 11:30:00 PM,1192.0,1190.7,4.95,,,,,
169,01/16/22 12:00:00 AM,1191.6,1190.3,4.94,,,,,
170,01/16/22 12:30:00 AM,1191.4,1190.3,4.94,,,,,
171,01/16/22 01:00:00 AM,1191.2,1189.5,4.93,,,,,
172,01/16/22 01:30:00 AM,1191.4,1190.3,4.94,,,,,
173,01/16/22 02:00:00 AM,1190.7,1189.5,4.93,,,,,
174,01/16/22 02:30:00 AM,1190.1,1189.1,4.93,,,,,
175,01/16/22 03:00:00 AM,1189.7,1188.3,4.91,,,,,
176,01/16/22 03:30:00 AM,1190.1,1188.7,4.93,,,,,
177,01/16/22 04:00:00 AM,1190.2,1188.3,4.93,,,,,
178,01/16/22 04:30:00 AM,1190.1,1188.7,4.93,,,,,
179,01/16/22 05:00:00 AM,1190.1,1189.1,4.93,,,,,
180,01/16/22 05:30:00 AM,1190.1,1188.7,4.92,,,,,
181,01/16/22 06:00:00 AM,1189.7,1188.7,4.93,,,,,
182,01/16/22 06:30:00 AM,1186.7,1185.5,4.88,,,,,
183,01/16/22 07:00:00 AM,1186.4,1185.1,4.88,,,,,
184,01/16/22 07:30:00 AM,1185.4,1184.4,4.85,,,,,
185,01/16/22 08:00:00 AM,1184.9,1184.0,4.85,,,,,
186,01/16/22 08:30:00 AM,1185.9,1184.7,4.88,,,,,
187,01/16/22 09:00:00 AM,1186.7,1185.5,4.91,,,,,
188,01/16/22 09:30:00 AM,1190.1,1189.0,5.00,,,,,
189,01/16/22 10:00:00 AM,1193.9,1192.5,5.10,,,,,
190,01/16/22 10:30:00 AM,1195.3,1194.4,5.16,,,,,
191,01/16/22 11:00:00 AM,1189.8,1188.6,4.98,,,,,
192,01/16/22 11:30:00 AM,1178.4,1176.8,4.83,,,,,
193,01/16/22 12:00:00 PM,1180.5,1179.0,4.94,,,,,
194,01/16/22 12:30:00 PM,1187.7,1186.2,5.03,,,,,
195,01/16/22 01:00:00 PM,1189.1,1188.2,5.03,,,,,
196,01/16/22 01:30:00 PM,1184.5,1183.4,4.98,,,,,
197,01/16/22 02:00:00 PM,1166.4,1165.0,4.56,,,,,
198,01/16/22 02:30:00 PM,1157.6,1156.2,4.52,,,,,
199,01/16/22 03:00:00 PM,1158.2,1156.9,4.63,,,,,
200,01/16/22 03:30:00 PM,1166.4,1164.8,4.71,,,,,
201,01/16/22 04:00:00 PM,1167.1,1165.8,4.62,,,,,
202,01/16/22 04:30:00 PM,1163.4,1161.8,4.56,,,,,
203,01/16/22 05:00:00 PM,1166.5,1165.0,4.62,,,,,
204,01/16/22 05:30:00 PM,1169.2,1168.1,4.64,,,,,
205,01/16/22 06:00:00 PM,1173.4,1172.0,4.74,,,,,
206,01/16/22 06:30:00 PM,1173.4,1172.0,4.74,,,,,
207,01/16/22 07:00:00 PM,1176.3,1174.8,4.77,,,,,
208,01/16/22 07:30:00 PM,1177.1,1175.6,4.77,,,,,
209,01/16/22 08:00:00 PM,1177.1,1175.6,4.77,,,,,
210,01/16/22 08:30:00 PM,1176.2,1174.9,4.74,,,,,
211,01/16/22 09:00:00 PM,1175.5,1174.1,4.71,,,,,
212,01/16/22 09:30:00 PM,1164.1,1162.6,4.59,,,,,
213,01/16/22 10:00:00 PM,1163.0,1161.5,4.52,,,,,
214,01/16/22 10:30:00 PM,1156.7,1155.5,4.51,,,,,
215,01/16/22 11:00:00 PM,1160.4,1159.0,4.56,,,,,
216,01/16/22 11:30:00 PM,1156.3,1154.7,4.48,,,,,
217,01/17/22 12:00:00 AM,1156.2,1155.0,4.52,,,,,
218,01/17/22 12:30:00 AM,1156.8,1155.9,4.51,,,,,
219,01/17/22 01:00:00 AM,1161.7,1160.2,4.59,,,,,
220,01/17/22 01:30:00 AM,1160.1,1159.0,4.57,,,,,
221,01/17/22 02:00:00 AM,1158.0,1156.3,4.49,,,,,
222,01/17/22 02:30:00 AM,1158.4,1157.1,4.51,,,,,
223,01/17/22 03:00:00 AM,1166.0,1164.6,4.62,,,,,
224,01/17/22 03:30:00 AM,1159.7,1158.5,4.65,,,,,
225,01/17/22 04:00:00 AM,1151.1,1149.7,4.58,,,,,
226,01/17/22 04:30:00 AM,1153.4,1152.1,4.63,,,,,
227,01/17/22 05:00:00 AM,1155.6,1154.5,4.61,,,,,
228,01/17/22 05:30:00 AM,1151.7,1150.2,4.55,,,,,
229,01/17/22 06:00:00 AM,1147.4,1145.8,4.49,,,,,
230,01/17/22 06:30:00 AM,1145.0,1143.9,4.42,,,,,
231,01/17/22 07:00:00 AM,1144.2,1143.1,4.40,,,,,
232,01/17/22 07:30:00 AM,1153.0,1151.8,4.56,,,,,
233,01/17/22 08:00:00 AM,1159.5,1158.1,4.62,,,,,
234,01/17/22 08:30:00 AM,1152.9,1151.8,4.54,,,,,
235,01/17/22 09:00:00 AM,1155.9,1155.0,4.56,,,,,
236,01/17/22 09:30:00 AM,1156.8,1155.4,4.55,,,,,
237,01/17/22 10:00:00 AM,1151.7,1150.2,4.51,,,,,
238,01/17/22 10:30:00 AM,1147.1,1145.5,4.40,,,,,
239,01/17/22 11:00:00 AM,1152.2,1151.0,4.52,,,,,
240,01/17/22 11:30:00 AM,1165.0,1163.5,4.82,,,,,
241,01/17/22 12:00:00 PM,1159.8,1158.4,4.75,,,,,
242,01/17/22 12:30:00 PM,1151.5,1149.8,4.52,,,,,
243,01/17/22 01:00:00 PM,1154.1,1153.3,4.65,,,,,
244,01/17/22 01:30:00 PM,1159.7,1158.4,4.75,,,,,
245,01/17/22 02:00:00 PM,1162.4,1161.5,4.80,,,,,
246,01/17/22 02:30:00 PM,1162.7,1161.5,4.83,,,,,
247,01/17/22 03:00:00 PM,1156.0,1154.5,4.64,,,,,
248,01/17/22 03:30:00 PM,1143.0,1142.0,4.38,,,,,
249,01/17/22 04:00:00 PM,1136.8,1135.3,4.24,,,,,
250,01/17/22 04:30:00 PM,1138.5,1136.9,4.25,,,,,
251,01/17/22 05:00:00 PM,1147.1,1145.5,4.43,,,,,
252,01/17/22 05:30:00 PM,1150.3,1149.5,4.49,,,,,
253,01/17/22 06:00:00 PM,1150.5,1149.1,4.49,,,,,
254,01/17/22 06:30:00 PM,1150.0,1148.7,4.46,,,,,
255,01/17/22 07:00:00 PM,1149.3,1147.9,4.44,,,,,
256,01/17/22 07:30:00 PM,1148.0,1146.7,4.43,,,,,
257,01/17/22 08:00:00 PM,1147.4,1146.3,4.42,,,,,
258,01/17/22 08:30:00 PM,1147.3,1146.3,4.42,,,,,
259,01/17/22 09:00:00 PM,1146.2,1145.6,4.38,,,,,
260,01/17/22 09:30:00 PM,1146.0,1145.2,4.39,,,,,
261,01/17/22 10:00:00 PM,1146.9,1145.9,4.42,,,,,
262,01/17/22 10:30:00 PM,1146.8,1145.9,4.42,,,,,
263,01/17/22 11:00:00 PM,1146.7,1145.5,4.40,,,,,
264,01/17/22 11:30:00 PM,1146.3,1145.6,4.39,,,,,
265,01/18/22 12:00:00 AM,1147.6,1147.1,4.44,,,,,
266,01/18/22 12:30:00 AM,1147.3,1145.9,4.43,,,,,
267,01/18/22 01:00:00 AM,1147.4,1146.7,4.45,,,,,
268,01/18/22 01:30:00 AM,1145.3,1145.1,4.42,,,,,
269,01/18/22 02:00:00 AM,1144.4,1143.6,4.38,,,,,
270,01/18/22 02:30:00 AM,1143.9,1143.2,4.36,,,,,
271,01/18/22 03:00:00 AM,1145.8,1144.7,4.42,,,,,
272,01/18/22 03:30:00 AM,1142.7,1142.0,4.36,,,,,
273,01/18/22 04:00:00 AM,1145.6,1145.1,4.42,,,,,
