"Plot Title: HP_Winter22"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21086715, SEN S/N: 21086715)","Intensity, lum/ft² (LGR S/N: 21086715, SEN S/N: 21086715)","Coupler Attached (LGR S/N: 21086715)","Host Connected (LGR S/N: 21086715)","Stopped (LGR S/N: 21086715)","End Of File (LGR S/N: 21086715)"
136,01/15/22 07:30:00 AM,4.934,1.0,,,,
137,01/15/22 08:00:00 AM,4.934,10.0,,,,
138,01/15/22 08:30:00 AM,4.934,19.0,,,,
139,01/15/22 09:00:00 AM,4.934,30.0,,,,
140,01/15/22 09:30:00 AM,5.037,78.0,,,,
141,01/15/22 10:00:00 AM,5.037,160.0,,,,
142,01/15/22 10:30:00 AM,5.141,192.0,,,,
143,01/15/22 11:00:00 AM,5.244,216.0,,,,
144,01/15/22 11:30:00 AM,5.244,232.0,,,,
145,01/15/22 12:00:00 PM,5.347,232.0,,,,
146,01/15/22 12:30:00 PM,5.347,240.0,,,,
147,01/15/22 01:00:00 PM,5.244,168.0,,,,
148,01/15/22 01:30:00 PM,5.244,123.0,,,,
149,01/15/22 02:00:00 PM,5.244,114.0,,,,
150,01/15/22 02:30:00 PM,5.244,91.0,,,,
151,01/15/22 03:00:00 PM,5.347,128.0,,,,
152,01/15/22 03:30:00 PM,5.244,46.0,,,,
153,01/15/22 04:00:00 PM,5.244,23.0,,,,
154,01/15/22 04:30:00 PM,5.244,5.0,,,,
155,01/15/22 05:00:00 PM,5.141,0.0,,,,
156,01/15/22 05:30:00 PM,5.141,0.0,,,,
157,01/15/22 06:00:00 PM,5.244,0.0,,,,
158,01/15/22 06:30:00 PM,5.244,0.0,,,,
159,01/15/22 07:00:00 PM,5.141,0.0,,,,
160,01/15/22 07:30:00 PM,5.141,0.0,,,,
161,01/15/22 08:00:00 PM,5.244,0.0,,,,
162,01/15/22 08:30:00 PM,5.244,0.0,,,,
163,01/15/22 09:00:00 PM,5.244,0.0,,,,
164,01/15/22 09:30:00 PM,5.244,0.0,,,,
165,01/15/22 10:00:00 PM,5.244,0.0,,,,
166,01/15/22 10:30:00 PM,5.244,0.0,,,,
167,01/15/22 11:00:00 PM,5.244,0.0,,,,
168,01/15/22 11:30:00 PM,5.244,0.0,,,,
169,01/16/22 12:00:00 AM,5.141,0.0,,,,
170,01/16/22 12:30:00 AM,5.244,0.0,,,,
171,01/16/22 01:00:00 AM,5.244,0.0,,,,
172,01/16/22 01:30:00 AM,5.141,0.0,,,,
173,01/16/22 02:00:00 AM,5.141,0.0,,,,
174,01/16/22 02:30:00 AM,5.141,0.0,,,,
175,01/16/22 03:00:00 AM,5.141,0.0,,,,
176,01/16/22 03:30:00 AM,5.244,0.0,,,,
177,01/16/22 04:00:00 AM,5.141,0.0,,,,
178,01/16/22 04:30:00 AM,5.141,0.0,,,,
179,01/16/22 05:00:00 AM,5.244,0.0,,,,
180,01/16/22 05:30:00 AM,5.244,0.0,,,,
181,01/16/22 06:00:00 AM,5.244,0.0,,,,
182,01/16/22 06:30:00 AM,5.141,0.0,,,,
183,01/16/22 07:00:00 AM,5.141,0.0,,,,
184,01/16/22 07:30:00 AM,5.141,2.0,,,,
185,01/16/22 08:00:00 AM,5.141,14.0,,,,
186,01/16/22 08:30:00 AM,5.141,25.0,,,,
187,01/16/22 09:00:00 AM,5.141,45.0,,,,
188,01/16/22 09:30:00 AM,5.244,168.0,,,,
189,01/16/22 10:00:00 AM,5.347,192.0,,,,
190,01/16/22 10:30:00 AM,5.347,113.0,,,,
191,01/16/22 11:00:00 AM,5.244,144.0,,,,
192,01/16/22 11:30:00 AM,5.141,136.0,,,,
193,01/16/22 12:00:00 PM,5.141,160.0,,,,
194,01/16/22 12:30:00 PM,5.347,118.0,,,,
195,01/16/22 01:00:00 PM,5.347,119.0,,,,
196,01/16/22 01:30:00 PM,5.244,136.0,,,,
197,01/16/22 02:00:00 PM,5.037,88.0,,,,
198,01/16/22 02:30:00 PM,5.141,49.0,,,,
199,01/16/22 03:00:00 PM,5.141,49.0,,,,
200,01/16/22 03:30:00 PM,5.037,12.0,,,,
201,01/16/22 04:00:00 PM,5.037,5.0,,,,
202,01/16/22 04:30:00 PM,4.934,1.0,,,,
203,01/16/22 05:00:00 PM,4.934,0.0,,,,
204,01/16/22 05:30:00 PM,5.037,0.0,,,,
205,01/16/22 06:00:00 PM,5.037,0.0,,,,
206,01/16/22 06:30:00 PM,5.037,0.0,,,,
207,01/16/22 07:00:00 PM,5.037,0.0,,,,
208,01/16/22 07:30:00 PM,5.037,0.0,,,,
209,01/16/22 08:00:00 PM,5.037,0.0,,,,
210,01/16/22 08:30:00 PM,5.037,0.0,,,,
211,01/16/22 09:00:00 PM,5.037,0.0,,,,
212,01/16/22 09:30:00 PM,5.037,0.0,,,,
213,01/16/22 10:00:00 PM,4.934,0.0,,,,
214,01/16/22 10:30:00 PM,4.831,0.0,,,,
215,01/16/22 11:00:00 PM,4.934,0.0,,,,
216,01/16/22 11:30:00 PM,4.831,0.0,,,,
217,01/17/22 12:00:00 AM,4.831,0.0,,,,
218,01/17/22 12:30:00 AM,4.831,0.0,,,,
219,01/17/22 01:00:00 AM,4.934,0.0,,,,
220,01/17/22 01:30:00 AM,4.934,0.0,,,,
221,01/17/22 02:00:00 AM,4.831,0.0,,,,
222,01/17/22 02:30:00 AM,4.831,0.0,,,,
223,01/17/22 03:00:00 AM,4.934,0.0,,,,
224,01/17/22 03:30:00 AM,4.934,0.0,,,,
225,01/17/22 04:00:00 AM,4.831,0.0,,,,
226,01/17/22 04:30:00 AM,4.934,0.0,,,,
227,01/17/22 05:00:00 AM,4.934,0.0,,,,
228,01/17/22 05:30:00 AM,4.831,0.0,,,,
229,01/17/22 06:00:00 AM,4.727,0.0,,,,
230,01/17/22 06:30:00 AM,4.623,0.0,,,,
231,01/17/22 07:00:00 AM,4.727,0.0,,,,
232,01/17/22 07:30:00 AM,4.831,0.0,,,,
233,01/17/22 08:00:00 AM,4.934,3.0,,,,
234,01/17/22 08:30:00 AM,4.831,10.0,,,,
235,01/17/22 09:00:00 AM,4.831,19.0,,,,
236,01/17/22 09:30:00 AM,4.831,34.0,,,,
237,01/17/22 10:00:00 AM,4.727,48.0,,,,
238,01/17/22 10:30:00 AM,4.727,66.0,,,,
239,01/17/22 11:00:00 AM,4.831,124.0,,,,
