DATE,pond,Depth,Temp_C,DO_Percent,DO_mgL,Conductivity
2021-07-09,DCSW2,0.25,22.9,98.6,8.46,416.7
2021-07-09,DCSW2,0.5,22.2,50.1,4.35,415.9
2021-07-09,DCSW2,0.75,22,22.7,1.99,412.8
2021-07-09,DCSW2,1,21.8,13,1.14,411.1
2021-07-09,DCSW2,1.25,21.8,8.6,0.75,413.1
2021-07-09,DCSW2,1.5,21.6,24.7,2.17,427.3
2021-07-09,DCSW2,1.75,21.4,2.3,0.2,446.6
2021-07-19,DCSW2,0,24.6,114.3,9.51,2
2021-07-19,DCSW2,0.25,24.3,126.5,10.57,414.2
2021-07-19,DCSW2,0.5,23.6,65.8,5.58,409.2
2021-07-19,DCSW2,0.75,23.4,59,5.01,410.2
2021-07-19,DCSW2,1,23.3,21,1.79,430.5
2021-07-19,DCSW2,1.25,23,25.4,2.18,434
2021-07-19,DCSW2,1.5,22.1,1.5,0.13,458
2021-06-21,DCSW3,0,22.2,22.5,1.96,0.2
2021-06-21,DCSW3,0.25,22.2,18.6,1.62,400
2021-06-21,DCSW3,0.5,22.2,18.5,1.61,400.2
2021-06-21,DCSW3,0.75,22.2,17.4,1.51,403.4
2021-06-21,DCSW3,1,22.2,17.6,1.53,403.1
2021-06-21,DCSW3,1.25,22.2,16.9,1.47,404.5
2021-06-21,DCSW3,1.5,22.2,16,1.38,404.3
2021-06-21,DCSW3,1.75,21.3,2,0.18,419.4
2021-06-21,DCSW3,2,19.5,1.2,0.11,565
2021-07-09,DCSW3,0,23.8,13.9,1.17,0.2
2021-07-09,DCSW3,0.25,23.8,13,1.1,239.8
2021-07-09,DCSW3,0.5,23.8,12.8,1.08,239.8
2021-07-09,DCSW3,0.75,23.5,10.7,0.92,239.4
2021-07-09,DCSW3,1,22.9,1.1,0.09,239.2
2021-07-09,DCSW3,1.25,22.8,0.7,0.06,239.5
2021-07-09,DCSW3,1.5,22.6,0.6,0.05,241.2
2021-07-09,DCSW3,1.75,22.4,0.5,0.05,243
2021-07-19,DCSW3,0,24.7,57.1,4.74,3.1
