sampleid,TIC,TOC,DIC,DOC,sampleID,pond,date,TC
DCSW3_2021-06-09,24.99,6.2,24.72,6.427,DCSW3_2021-06-09,DCSW3,2021-06-09,31.189999999999998
DOBA8_2021-06-10,11.9,6.399,11.45,6.478,DOBA8_2021-06-10,DOBA8,2021-06-10,18.299
MDT_2021-06-10,9.552,6.974,9.295,7.081,MDT_2021-06-10,MDT,2021-06-10,16.526
HP-UW_2021-06-10,66.94,2.445,65.43,2.487,HP-UW_2021-06-10,HP-UW,2021-06-10,69.38499999999999
L60-UW_2021-06-11,24.84,9.774,28.56,9.813,L60-UW_2021-06-11,L60-UW,2021-06-11,34.614
KP_2021-06-11,21.18,7.677,13.68,7.783,KP_2021-06-11,KP,2021-06-11,28.857
O-S_2021-06-11,39.71,5.124,39.13,5.099,O-S_2021-06-11,O-S,2021-06-11,44.834
O-N_2021-06-11,45.4,5.354,44.29,5.109,O-N_2021-06-11,O-N,2021-06-11,50.754
OPP-E_2021-06-14,19.11,9.449,17.96,9.729,OPP-E_2021-06-14,OPP-E,2021-06-14,28.558999999999997
OPP-W_2021-06-14,22.34,15.34,18.94,12.4,OPP-W_2021-06-14,OPP-W,2021-06-14,37.68
DOBA7_2021-06-14,14.08,8.429,12.77,8.04,DOBA7_2021-06-14,DOBA7,2021-06-14,22.509
ALC_2021-06-15,19.38,10.78,17.63,10.57,ALC_2021-06-15,ALC,2021-06-15,30.159999999999997
LM-ARB_2021-06-15,40.97,10.25,36.98,8.882,LM-ARB_2021-06-15,LM-ARB,2021-06-15,51.22
UM-ARB_2021-06-15,40.76,10.06,37.89,8.933,UM-ARB_2021-06-15,UM-ARB,2021-06-15,50.82
DOBA5_2021-06-16,11.52,11.91,11.22,11.96,DOBA5_2021-06-16,DOBA5,2021-06-16,23.43
CAP_2021-06-16,19.23,7.027,18.69,6.937,CAP_2021-06-16,CAP,2021-06-16,26.257
DOBA4_2021-06-16,10.4,7.261,11.55,7.593,DOBA4_2021-06-16,DOBA4,2021-06-16,17.661
DOBA8_2021-06-17,12.14,7.104,11.38,6.891,DOBA8_2021-06-17,DOBA8,2021-06-17,19.244
MDT_2021-06-17,8.263,8.326,7.446,8.073,MDT_2021-06-17,MDT,2021-06-17,16.589
ELV_2021-06-17,12.66,7.139,11.67,6.91,ELV_2021-06-17,ELV,2021-06-17,19.799
L60-UW_2021-06-18,10.56,3.804,8.976,3.462,L60-UW_2021-06-18,L60-UW,2021-06-18,14.364
HP-UW_2021-06-18,16.34,3.093,17.12,3.281,HP-UW_2021-06-18,HP-UW,2021-06-18,19.433
DCSW3_2021-06-21,26.16,6.262,25.75,6.425,DCSW3_2021-06-21,DCSW3,2021-06-21,32.422
DCSW2_2021-06-21,28.65,7.095,26.98,7.042,DCSW2_2021-06-21,DCSW2,2021-06-21,35.745
DCSW1_2021-06-21,14.52,7.127,14.67,7.348,DCSW1_2021-06-21,DCSW1,2021-06-21,21.647
O-N_2021-06-22,35.66,5.862,34.29,5.521,O-N_2021-06-22,O-N,2021-06-22,41.522
O-S_2021-06-22,32.38,5.226,30.73,5.081,O-S_2021-06-22,O-S,2021-06-22,37.606
KP_2021-06-22,14.19,8.408,21.51,8.33,KP_2021-06-22,KP,2021-06-22,22.598
